SSID,MAC ,lat,Lot,hight
Ariel_University0,1c:b9:c4:15:20:38,32.1048194748832,35.21014193535791,697.8852428165849
 ,1c:b9:c4:96:2d:e7,32.10492987261436,35.21027044008996,708.8736268991172
shapedo,c2:6c:ac:9f:fb:1f,32.10452399324053,35.209718000940775,689.6250519377325
Ariel_University32,1c:b9:c4:15:34:b8,32.10493191549645,35.21025667401684,692.7030958914264
EVE4,c4:12:f5:fd:6a:74,32.10483384066018,35.21004948359021,692.7415284537185
giftwizard,a2:6c:ac:a0:3d:eb,32.10376146949031,35.20930602805809,703.110604263073
Guest4,a2:6c:ac:9f:fb:1f,32.104689840094615,35.20990629425972,695.0442302849592
Guest,90:6c:ac:a0:3d:eb,32.1037111349969,35.209180113764376,698.6194028513568
EVE4,8c:0c:90:2f:36:58,32.104756095893336,35.20996993134828,699.1416431415803
magneto8,a2:6c:ac:a0:7b:4d,32.104571393900585,35.20974264359213,694.6208068145118
magneto8,c2:6c:ac:a0:7b:55,32.10466943236544,35.209824592427005,701.9303296677488
magneto0,b2:6c:ac:a0:7b:55,32.10467817424046,35.209813646365646,708.5120395177382
magneto4,a2:6c:ac:a0:7b:55,32.10467787135877,35.209813449304924,708.6936298682328
TP-LINK_ADD1500,74:ea:3a:ad:d1:50,32.1038735596111,35.20944019430934,689.4978471096379
TP-LINK_ADD1504,90:6c:ac:a0:60:4d,32.10462255556327,35.20977542687116,689.1632024869866
TP-LINK_ADD1508,a2:6c:ac:a0:60:4d,32.104295258377164,35.2094596590395,689.2506394148126
TP-LINK_ADD15016,1c:b9:c4:14:62:4c,32.10457102888188,35.209608501213296,692.8918490649098
Ariel_University,1c:b9:c4:14:62:48,32.103909863283285,35.20946884775084,696.091410434499
Ariel_University4,f8:e9:03:12:ef:3c,32.10456801210062,35.209679316065845,689.8684136221324
TP-LINK_ADD15032,1c:b9:c4:94:62:47,32.10457102888188,35.209608501213296,692.8918490649098
Ariel_University,24:79:2a:2c:5b:dc,32.104142686249105,35.21002391316817,703.1484393235384
artsim,a2:6c:ac:a0:18:29,32.103666322911735,35.20929375541751,689.7993843417348
Ariel_University4,24:79:2a:2c:5b:d8,32.10425439593109,35.209814559349645,703.5722376415575
Ariel_University,34:8f:27:20:89:b8,32.10410549592866,35.209217285537754,690.6334021278866
Ariel_University12,a0:8c:fd:8c:79:6f,32.104510237697276,35.20956264842609,690.9289640836059
artsim20,34:8f:27:20:89:bc,32.104466966368285,35.20942986183025,692.9030486088649
artsim28,34:8f:27:a0:89:b7,32.104466966368285,35.20942986183025,692.9030486088649
Ariel_University,ec:8c:a2:26:d3:68,32.10404832232303,35.209084809866376,696.4667800568006
Ariel_University0,1c:b9:c4:16:1d:78,32.10398272157746,35.20924867164931,699.8055313793055
Ariel_University12,58:70:c6:fb:68:7a,32.104362677361316,35.20927746779735,692.9954485022049
DIRECT-64-HP DeskJet 3630 series,30:e1:71:0d:e0:65,32.104195792901045,35.20912676733564,700.8868204723456
Ariel_University0,1c:b9:c4:16:cc:d8,32.10417409535365,35.20908661069742,691.6582550631983
Ariel_University4,00:27:22:f3:bb:2b,32.10405974104211,35.20942539110444,705.4863232281272
DIRECT-13-HP DeskJet 3630 series,a0:8c:fd:0a:24:56,32.10382358085729,35.20961687575561,705.1949748079991
Ariel_University12,1c:b9:c4:15:fd:4c,32.10397630556544,35.209473814148694,706.10892794881
Ariel_University4,1c:b9:c4:15:fd:48,32.10373660552924,35.20927720610157,697.9166945891347
Ariel_University,1c:b9:c4:16:28:ec,32.10383973315255,35.20889571793293,701.5034186413068
 4,00:02:6f:b8:c4:1a,32.10398682674761,35.208972184356085,702.3784600290483
Ariel_University,1c:b9:c4:16:28:e8,32.10363435663269,35.208786076257375,699.7522027019359
Ariel_University0,8c:0c:90:2e:16:88,32.10373003094812,35.20963704986048,699.6104958119124
Guest,90:6c:ac:a0:18:29,32.10372272006477,35.209407882480825,694.4606644756714
EVE12,ec:8c:a2:26:b0:e8,32.10376808663587,35.20892585738781,690.629091549149
Ariel_University,1c:b9:c4:15:1c:b8,32.103520330359814,35.20930247660679,700.4713380746138
